Season,Team,Name,Games_Played,Games_Started,Minutes_Played,Goals,Assists,Shots_On_Goal,Shots,Yellow_Cards,Red_Cards
2013/2014,BAYERN MUNICH,"Mandzukic, Mario",30,21,2019,18,4,51,77,5,0
2013/2014,BAYERN MUNICH,"Muller, Thomas",31,25,2167,13,10,35,68,2,0
2013/2014,BAYERN MUNICH,"Robben, Arjen",28,20,1686,11,6,39,75,0,0
2013/2014,BAYERN MUNICH,"Gotze, Mario",27,20,1822,10,8,24,45,0,0
2013/2014,BAYERN MUNICH,"Pizarro, Claudio",17,6,683,10,3,18,25,0,0
2013/2014,BAYERN MUNICH,"Ribéry, Franck",22,18,1637,10,10,29,61,2,0
2013/2014,BAYERN MUNICH,"Shaqiri, Xherdan",17,10,782,6,2,19,34,0,0
2013/2014,BAYERN MUNICH,"Schweinsteiger, Bastian",23,22,1831,4,4,16,36,4,0
2013/2014,BAYERN MUNICH,"Alaba, David",28,26,2398,2,6,8,41,0,0
2013/2014,BAYERN MUNICH,"Alcántara, Thiago",16,11,999,2,4,6,20,1,0
2013/2014,BAYERN MUNICH,Dante,29,27,2416,2,1,9,23,4,0
2013/2014,BAYERN MUNICH,"Kroos, Toni",29,24,2065,2,4,13,48,6,0
2013/2014,BAYERN MUNICH,"Boateng, Jerome",25,25,2169,1,0,4,13,6,1
2013/2014,BAYERN MUNICH,"Lahm, Philipp",28,25,2336,1,4,4,14,2,0
2013/2014,BAYERN MUNICH,"Van Buyten, Daniel",12,10,923,1,0,2,7,3,0
2013/2014,BAYERN MUNICH,"Contento, Diego",10,6,577,0,1,0,4,1,0
2013/2014,BAYERN MUNICH,"Hojbjerg, Pierre-Emile",7,2,280,0,1,3,11,0,0
2013/2014,BAYERN MUNICH,"Kirchhoff, Jan",9,0,115,0,0,1,2,1,0
2013/2014,BAYERN MUNICH,"Martínez, Javi",18,14,1332,0,0,6,17,3,0
2013/2014,BAYERN MUNICH,"Neuer, Manuel",31,31,2745,0,0,0,0,0,0
2013/2014,BAYERN MUNICH,"Raeder, Lukas",2,1,135,0,1,0,0,0,0
2013/2014,BAYERN MUNICH,Rafinha,28,25,2202,0,7,3,10,4,1
2013/2014,BAYERN MUNICH,"Sallahi, Ylli",1,1,51,0,0,0,0,0,0
2013/2014,BAYERN MUNICH,"Starke, Tom",2,2,180,0,0,0,0,0,0
2013/2014,BAYERN MUNICH,"Weiser, Mitchell",3,2,138,0,0,0,0,1,0
2014/2015,BAYERN MUNICH,"Lewandowski, Robert",31,28,2486,17,5,50,108,0,0
2014/2015,BAYERN MUNICH,"Robben, Arjen",21,20,1679,17,7,44,84,0,0
2014/2015,BAYERN MUNICH,"Muller, Thomas",32,28,2373,13,10,40,85,1,0
2014/2015,BAYERN MUNICH,"Gotze, Mario",32,28,2248,9,2,26,56,1,0
2014/2015,BAYERN MUNICH,"Ribéry, Franck",15,9,958,5,7,9,21,2,0
2014/2015,BAYERN MUNICH,"Schweinsteiger, Bastian",20,15,1362,5,4,13,31,4,0
2014/2015,BAYERN MUNICH,"Alaba, David",19,19,1665,2,1,11,27,0,0
2014/2015,BAYERN MUNICH,"Alonso, Xabi",26,24,1973,2,3,9,24,6,0
2014/2015,BAYERN MUNICH,"Hojbjerg, Pierre-Emile",24,13,1292,2,3,6,32,5,0
2014/2015,BAYERN MUNICH,"Lahm, Philipp",20,17,1408,2,2,4,11,0,0
2014/2015,BAYERN MUNICH,"Rode, Sebastian",23,8,959,2,5,3,13,2,0
2014/2015,BAYERN MUNICH,"Benatia, Mehdi",15,13,1151,1,0,2,9,5,0
2014/2015,BAYERN MUNICH,"Bernat, Juan",31,28,2555,1,0,13,28,1,0
2014/2015,BAYERN MUNICH,"Shaqiri, Xherdan",9,3,337,1,2,3,12,0,0
2014/2015,BAYERN MUNICH,"Weiser, Mitchell",13,8,777,1,4,2,6,2,0
2014/2015,BAYERN MUNICH,"Alcántara, Thiago",7,2,281,0,0,3,4,0,0
2014/2015,BAYERN MUNICH,"Badstuber, Holger",10,9,770,0,0,1,4,0,0
2014/2015,BAYERN MUNICH,"Boateng, Jerome",27,25,2139,0,0,6,20,2,1
2014/2015,BAYERN MUNICH,Dante,27,21,1996,0,0,1,7,5,0
2014/2015,BAYERN MUNICH,"Gaudino, Gianluca",8,4,371,0,0,1,1,0,0
2014/2015,BAYERN MUNICH,"Gortler, Lukas",1,0,18,0,0,1,1,0,0
2014/2015,BAYERN MUNICH,"Kurt, Sinan",1,0,45,0,0,0,1,0,0
2014/2015,BAYERN MUNICH,"Martínez, Javi",1,1,62,0,0,0,1,0,0
2014/2015,BAYERN MUNICH,"Neuer, Manuel",32,31,2866,0,0,0,0,1,0
2014/2015,BAYERN MUNICH,"Pizarro, Claudio",13,2,320,0,1,7,13,0,0
2014/2015,BAYERN MUNICH,Rafinha,26,24,2143,0,1,2,9,4,0
2014/2015,BAYERN MUNICH,"Reina, Pepe",3,3,193,0,0,0,0,0,1
2014/2015,BAYERN MUNICH,"Strieder, Rico",1,1,90,0,0,0,0,0,0
2015/2016,BAYERN MUNICH,"Lewandowski, Robert",32,29,2654,30,2,72,150,2,0
2015/2016,BAYERN MUNICH,"Muller, Thomas",31,26,2343,20,5,47,93,4,0
2015/2016,BAYERN MUNICH,"Coman, Kingsley",23,20,1688,4,6,14,35,0,0
2015/2016,BAYERN MUNICH,Douglas Costa,27,23,1971,4,9,26,64,1,0
2015/2016,BAYERN MUNICH,"Robben, Arjen",15,14,1101,4,1,18,52,1,0
2015/2016,BAYERN MUNICH,"Vidal, Arturo",30,24,2047,4,5,19,50,3,0
2015/2016,BAYERN MUNICH,"Gotze, Mario",14,11,957,3,4,12,18,1,0
2015/2016,BAYERN MUNICH,"Alcántara, Thiago",27,16,1636,2,3,10,30,2,0
2015/2016,BAYERN MUNICH,"Ribéry, Franck",13,6,681,2,3,6,14,1,0
2015/2016,BAYERN MUNICH,"Alaba, David",30,27,2492,1,0,6,29,2,0
2015/2016,BAYERN MUNICH,"Benatia, Mehdi",14,11,980,1,2,2,8,2,0
2015/2016,BAYERN MUNICH,Dante,24,23,2081,1,0,2,16,4,2
2015/2016,BAYERN MUNICH,"Lahm, Philipp",26,25,2199,1,1,5,10,3,0
2015/2016,BAYERN MUNICH,"Martínez, Javi",16,11,1104,1,1,3,13,2,0
2015/2016,BAYERN MUNICH,"Rode, Sebastian",15,3,399,1,1,1,7,1,0
2015/2016,BAYERN MUNICH,"Alonso, Xabi",26,23,1945,0,2,4,13,5,1
2015/2016,BAYERN MUNICH,"Badstuber, Holger",7,5,470,0,0,1,3,0,0
2015/2016,BAYERN MUNICH,"Bernat, Juan",16,13,1148,0,1,2,9,2,0
2015/2016,BAYERN MUNICH,"Boateng, Jérome",19,17,1353,0,3,1,7,3,1
2015/2016,BAYERN MUNICH,"Kimmich, Joshua",23,15,1423,0,2,4,7,3,0
2015/2016,BAYERN MUNICH,"Neuer, Manuel",34,34,3021,0,0,0,0,0,0
2015/2016,BAYERN MUNICH,"Pantovic, Milos",1,0,1,0,0,0,0,0,0
2015/2016,BAYERN MUNICH,Rafinha,25,18,1748,0,3,3,10,7,0
2015/2016,BAYERN MUNICH,"Tasci, Serdar",3,3,220,0,0,0,1,1,0
2015/2016,BAYERN MUNICH,"Ulreich, Sven",1,0,39,0,0,0,0,0,0
2016/2017,BAYERN MUNICH,"Lewandowski, Robert",33,31,2776,30,5,59,144,5,0
2016/2017,BAYERN MUNICH,"Robben, Arjen",26,21,1827,13,9,27,83,0,0
2016/2017,BAYERN MUNICH,"Alcántara, Thiago",27,26,2291,6,5,15,37,4,0
2016/2017,BAYERN MUNICH,"Kimmich, Joshua",27,15,1540,6,1,12,30,1,0
2016/2017,BAYERN MUNICH,"Muller, Thomas",29,25,2265,5,12,25,65,0,0
2016/2017,BAYERN MUNICH,"Ribéry, Franck",22,14,1240,5,11,11,21,2,0
2016/2017,BAYERN MUNICH,"Alaba, David",32,29,2508,4,4,12,32,1,0
2016/2017,BAYERN MUNICH,Douglas Costa,23,14,1373,4,4,16,42,2,0
2016/2017,BAYERN MUNICH,"Vidal, Arturo",27,21,1824,4,2,10,39,8,0
2016/2017,BAYERN MUNICH,"Alonso, Xabi",27,22,1905,3,2,5,25,6,0
2016/2017,BAYERN MUNICH,"Bernat, Juan",18,13,1235,2,2,6,11,1,0
2016/2017,BAYERN MUNICH,"Coman, Kingsley",19,10,915,2,1,9,21,1,0
2016/2017,BAYERN MUNICH,"Hummels, Mats",27,24,2181,1,1,11,29,4,0
2016/2017,BAYERN MUNICH,"Lahm, Philipp",26,24,2089,1,2,3,7,1,0
2016/2017,BAYERN MUNICH,"Martínez, Javi",25,25,2135,1,1,3,11,5,0
2016/2017,BAYERN MUNICH,Rafinha,20,10,1022,1,1,3,6,2,0
2016/2017,BAYERN MUNICH,"Badstuber, Holger",11,10,892,0,0,1,1,1,0
2016/2017,BAYERN MUNICH,"Boateng, Jérome",13,10,829,0,1,0,4,1,0
2016/2017,BAYERN MUNICH,"Neuer, Manuel",26,26,2340,0,0,0,0,0,0
2016/2017,BAYERN MUNICH,"Sanches, Renato",17,6,617,0,0,3,12,3,0
2016/2017,BAYERN MUNICH,"Starke, Tom",3,3,270,0,0,0,0,0,0
2016/2017,BAYERN MUNICH,"Ulreich, Sven",5,5,450,0,0,0,0,0,0
2017/2018,BAYERN MUNICH,"Lewandowski, Robert",30,24,2169,29,2,55,120,1,0
2017/2018,BAYERN MUNICH,"Wagner, Sandro",25,18,1594,12,4,26,54,4,0
2017/2018,BAYERN MUNICH,"Muller, Thomas",29,22,1964,8,14,17,42,4,0
2017/2018,BAYERN MUNICH,"Rodríguez, James",23,19,1625,7,11,14,41,2,0
2017/2018,BAYERN MUNICH,"Tolisso, Corentin",25,17,1502,6,4,18,41,3,0
2017/2018,BAYERN MUNICH,"Vidal, Arturo",22,17,1457,6,2,22,50,6,0
2017/2018,BAYERN MUNICH,"Ribéry, Franck",20,15,1210,5,1,11,21,3,0
2017/2018,BAYERN MUNICH,"Robben, Arjen",21,19,1517,5,5,20,52,0,0
2017/2018,BAYERN MUNICH,"Coman, Kingsley",21,10,1147,3,3,15,29,0,0
2017/2018,BAYERN MUNICH,"Alaba, David",23,17,1550,2,2,7,24,1,0
2017/2018,BAYERN MUNICH,"Alcántara, Thiago",19,12,1243,2,2,6,24,3,0
2017/2018,BAYERN MUNICH,"Sule, Niklas",27,20,1919,2,1,7,17,1,0
2017/2018,BAYERN MUNICH,"Boateng, Jérome",19,19,1644,1,2,3,12,4,0
2017/2018,BAYERN MUNICH,"Dorsch, Niklas",1,1,90,1,0,1,1,0,0
2017/2018,BAYERN MUNICH,"Hummels, Mats",26,25,2213,1,1,5,25,3,0
2017/2018,BAYERN MUNICH,"Kimmich, Joshua",29,26,2333,1,11,4,9,1,0
2017/2018,BAYERN MUNICH,"Martínez, Javi",22,18,1612,1,2,4,25,1,0
2017/2018,BAYERN MUNICH,Rafinha,27,19,1843,1,2,3,7,4,0
2017/2018,BAYERN MUNICH,"Rudy, Sebastian",25,16,1509,1,4,6,19,2,0
2017/2018,BAYERN MUNICH,"Bernat, Juan",11,11,892,0,2,0,3,1,0
2017/2018,BAYERN MUNICH,"Evina, Franck",2,2,111,0,0,0,4,0,0
2017/2018,BAYERN MUNICH,"Friedl, Marco",10,6,642,0,0,1,5,0,0
2017/2018,BAYERN MUNICH,"Mai, Lars",2,2,180,0,0,0,0,0,0
2017/2018,BAYERN MUNICH,"Neuer, Manuel",3,3,270,0,0,0,0,0,0
2017/2018,BAYERN MUNICH,"Shabani, Meritan",1,1,56,0,0,0,0,0,0
2017/2018,BAYERN MUNICH,"Starke, Tom",2,2,180,0,0,0,0,0,0
2017/2018,BAYERN MUNICH,"Ulreich, Sven",29,29,2610,0,0,0,0,1,0
2017/2018,BAYERN MUNICH,"Wriedt, Kwasi Okyere",1,0,22,0,0,0,0,0,0
2013/2014,MÖNCHENGLADBACH,Raffael,34,34,2994,15,7,32,74,1,0
2013/2014,MÖNCHENGLADBACH,"Kruse, Max",34,34,3020,12,9,39,81,3,0
2013/2014,MÖNCHENGLADBACH,"Arango, Juan",31,31,2606,8,5,32,76,2,0
2013/2014,MÖNCHENGLADBACH,"Herrmann, Patrick",34,34,2705,6,8,20,49,2,0
2013/2014,MÖNCHENGLADBACH,"Kramer, Christoph",33,30,2655,3,1,13,23,8,0
2013/2014,MÖNCHENGLADBACH,"Wendt, Oscar",18,16,1471,3,1,4,8,2,0
2013/2014,MÖNCHENGLADBACH,"Daems, Filip",15,13,1186,2,0,6,9,1,0
2013/2014,MÖNCHENGLADBACH,"Hrgota, Branimir",30,3,563,2,0,7,16,2,0
2013/2014,MÖNCHENGLADBACH,"Stranzl, Martin",30,30,2672,2,0,6,15,5,1
2013/2014,MÖNCHENGLADBACH,"Domínguez, Álvaro",21,20,1766,1,1,2,7,2,0
2013/2014,MÖNCHENGLADBACH,"Jantschke, Tony",31,31,2745,1,1,4,7,4,0
2013/2014,MÖNCHENGLADBACH,"Mlapa, Peniel",5,0,46,1,0,3,3,0,0
2013/2014,MÖNCHENGLADBACH,"Nordtveit, Havard",21,14,1257,1,2,3,11,1,1
2013/2014,MÖNCHENGLADBACH,"Brouwers, Roel",12,5,520,0,1,0,3,0,0
2013/2014,MÖNCHENGLADBACH,"De Jong, Luuk",13,0,74,0,0,1,3,0,0
2013/2014,MÖNCHENGLADBACH,"Korb, Julian",22,22,1962,0,0,2,9,6,0
2013/2014,MÖNCHENGLADBACH,"Marx, Thorben",2,0,28,0,0,0,0,0,0
2013/2014,MÖNCHENGLADBACH,"Rupp, Lukas",10,0,92,0,0,1,3,0,0
2013/2014,MÖNCHENGLADBACH,"Ter Stegen, Marc-André",34,34,3060,0,0,0,2,1,0
2013/2014,MÖNCHENGLADBACH,"Xhaka, Granit",28,23,2026,0,1,7,28,10,1
2013/2014,MÖNCHENGLADBACH,"Younes, Amin",14,0,169,0,2,0,2,0,0
2014/2015,MÖNCHENGLADBACH,Raffael,31,28,2377,12,2,27,63,1,0
2014/2015,MÖNCHENGLADBACH,"Herrmann, Patrick",32,26,2202,11,4,26,48,5,0
2014/2015,MÖNCHENGLADBACH,"Kruse, Max",32,29,2585,11,9,33,68,2,0
2014/2015,MÖNCHENGLADBACH,"Hahn, Andre",23,15,1312,3,2,14,37,3,0
2014/2015,MÖNCHENGLADBACH,"Hrgota, Branimir",17,8,699,2,3,7,17,0,0
2014/2015,MÖNCHENGLADBACH,"Kramer, Christoph",30,28,2508,2,1,5,11,6,0
2014/2015,MÖNCHENGLADBACH,"Nordtveit, Havard",22,11,891,2,0,5,10,2,1
2014/2015,MÖNCHENGLADBACH,"Traoré, Ibrahima",24,8,842,2,1,8,25,3,0
2014/2015,MÖNCHENGLADBACH,"Wendt, Oscar",26,25,2295,2,1,3,8,4,0
2014/2015,MÖNCHENGLADBACH,"Xhaka, Granit",30,30,2638,2,1,16,57,10,1
2014/2015,MÖNCHENGLADBACH,"Brouwers, Roel",20,15,1413,1,0,3,7,2,0
2014/2015,MÖNCHENGLADBACH,"Hazard, Thorgan",28,7,905,1,7,6,20,1,0
2014/2015,MÖNCHENGLADBACH,"Jantschke, Tony",31,31,2745,1,0,3,11,5,0
2014/2015,MÖNCHENGLADBACH,"Johnson, Fabian",24,15,1421,1,4,6,17,0,0
2014/2015,MÖNCHENGLADBACH,"Dahoud, Mahmoud",1,0,1,0,0,0,0,0,0
2014/2015,MÖNCHENGLADBACH,"Domínguez, Álvaro",24,23,2115,0,3,8,12,3,0
2014/2015,MÖNCHENGLADBACH,"Korb, Julian",24,23,2075,0,1,1,3,3,0
2014/2015,MÖNCHENGLADBACH,"Sommer, Yann",34,34,3060,0,0,1,1,1,0
2014/2015,MÖNCHENGLADBACH,"Stranzl, Martin",19,18,1546,0,0,3,9,3,0
2015/2016,MÖNCHENGLADBACH,Raffael,31,30,2688,13,10,34,70,2,0
2015/2016,MÖNCHENGLADBACH,"Hahn, Andre",15,7,739,8,1,13,27,1,0
2015/2016,MÖNCHENGLADBACH,"Stindl, Lars",30,29,2595,7,8,29,67,5,0
2015/2016,MÖNCHENGLADBACH,"Johnson, Fabian",26,25,2161,6,4,12,26,2,0
2015/2016,MÖNCHENGLADBACH,"Dahoud, Mahmoud",32,27,2082,5,8,18,38,4,0
2015/2016,MÖNCHENGLADBACH,"Hazard, Thorgan",29,19,1647,4,3,19,44,4,0
2015/2016,MÖNCHENGLADBACH,"Nordtveit, Havard",31,27,2449,4,1,8,23,4,0
2015/2016,MÖNCHENGLADBACH,"Christensen, Andreas",31,31,2790,3,1,6,14,1,0
2015/2016,MÖNCHENGLADBACH,"Herrmann, Patrick",18,5,629,3,1,5,13,0,0
2015/2016,MÖNCHENGLADBACH,"Traoré, Ibrahima",24,17,1468,3,1,15,40,1,0
2015/2016,MÖNCHENGLADBACH,"Wendt, Oscar",30,30,2638,3,2,9,20,5,0
2015/2016,MÖNCHENGLADBACH,"Xhaka, Granit",28,28,2367,3,1,12,33,5,3
2015/2016,MÖNCHENGLADBACH,"Drmic, Josip",19,9,860,2,0,5,14,2,0
2015/2016,MÖNCHENGLADBACH,"Hofmann, Jonas",15,6,502,1,1,7,16,0,0
2015/2016,MÖNCHENGLADBACH,"Korb, Julian",17,14,1266,1,1,4,6,4,0
2015/2016,MÖNCHENGLADBACH,"Brouwers, Roel",8,3,289,0,0,1,1,0,0
2015/2016,MÖNCHENGLADBACH,"Domínguez, Álvaro",6,5,472,0,0,0,0,1,0
2015/2016,MÖNCHENGLADBACH,"Elvedi, Nico",21,17,1548,0,2,1,3,2,0
2015/2016,MÖNCHENGLADBACH,"Hinteregger, Martin",10,6,658,0,0,0,4,0,0
2015/2016,MÖNCHENGLADBACH,"Hrgota, Branimir",9,0,73,0,0,0,2,0,0
2015/2016,MÖNCHENGLADBACH,"Jantschke, Tony",12,8,748,0,0,2,4,2,0
2015/2016,MÖNCHENGLADBACH,"Schulz, Marvin",8,4,394,0,1,0,1,0,0
2015/2016,MÖNCHENGLADBACH,"Schulz, Nico",2,0,53,0,0,0,1,0,0
2015/2016,MÖNCHENGLADBACH,"Sippel, Tobias",2,2,180,0,0,0,0,0,0
2015/2016,MÖNCHENGLADBACH,"Sommer, Yann",32,32,2880,0,0,0,0,2,0
2015/2016,MÖNCHENGLADBACH,"Stranzl, Martin",4,2,164,0,0,0,0,0,0
2016/2017,MÖNCHENGLADBACH,"Stindl, Lars",30,29,2594,11,3,33,67,8,0
2016/2017,MÖNCHENGLADBACH,Raffael,20,18,1501,7,0,16,46,1,0
2016/2017,MÖNCHENGLADBACH,"Hazard, Thorgan",23,18,1631,6,4,17,42,3,0
2016/2017,MÖNCHENGLADBACH,"Vestergaard, Jannik",34,29,2656,4,1,11,34,1,0
2016/2017,MÖNCHENGLADBACH,"Hahn, André",30,18,1598,3,1,12,34,3,0
2016/2017,MÖNCHENGLADBACH,"Johnson, Fabian",21,12,1249,3,2,8,23,1,0
2016/2017,MÖNCHENGLADBACH,"Christensen, Andreas",31,31,2782,2,0,3,12,1,0
2016/2017,MÖNCHENGLADBACH,"Dahoud, Mahmoud",28,26,2281,2,6,13,44,3,0
2016/2017,MÖNCHENGLADBACH,"Wendt, Oscar",28,28,2462,2,2,8,26,3,0
2016/2017,MÖNCHENGLADBACH,"Benes, Laszlo",8,3,286,1,0,1,3,0,0
2016/2017,MÖNCHENGLADBACH,"Herrmann, Patrick",18,9,697,1,1,4,9,1,0
2016/2017,MÖNCHENGLADBACH,"Schulz, Nico",12,4,410,1,2,2,4,1,0
2016/2017,MÖNCHENGLADBACH,"Traoré, Ibrahima",14,9,841,1,3,3,9,0,0
2016/2017,MÖNCHENGLADBACH,"Drmic, Josip",12,2,274,0,0,2,10,0,0
2016/2017,MÖNCHENGLADBACH,"Elvedi, Nico",25,23,2111,0,0,1,5,4,0
2016/2017,MÖNCHENGLADBACH,"Hofmann, Jonas",21,16,1384,0,1,5,25,0,0
2016/2017,MÖNCHENGLADBACH,"Jantschke, Tony",22,17,1486,0,0,1,2,3,0
2016/2017,MÖNCHENGLADBACH,"Kolodziejczak, Thimothée",1,0,8,0,0,0,0,0,0
2016/2017,MÖNCHENGLADBACH,"Korb, Julian",12,7,754,0,0,0,2,0,0
2016/2017,MÖNCHENGLADBACH,"Kramer, Christoph",24,23,1963,0,5,0,1,5,1
2016/2017,MÖNCHENGLADBACH,"Simakala, Ba-Muaka",1,0,10,0,0,0,0,0,0
2016/2017,MÖNCHENGLADBACH,"Sommer, Yann",34,34,3060,0,0,0,0,1,0
2016/2017,MÖNCHENGLADBACH,"Sow, Djibril",1,0,1,0,0,0,0,0,0
2016/2017,MÖNCHENGLADBACH,"Strobl, Tobias",23,18,1565,0,2,1,9,6,1
2017/2018,MÖNCHENGLADBACH,"Hazard, Thorgan",34,33,2946,10,5,34,87,1,0
2017/2018,MÖNCHENGLADBACH,Raffael,27,23,2078,9,2,19,51,0,0
2017/2018,MÖNCHENGLADBACH,"Stindl, Lars",31,31,2730,6,3,26,73,5,0
2017/2018,MÖNCHENGLADBACH,"Ginter, Matthias",34,34,3060,5,2,12,29,2,0
2017/2018,MÖNCHENGLADBACH,"Drmic, Josip",13,4,463,4,1,5,18,1,0
2017/2018,MÖNCHENGLADBACH,"Kramer, Christoph",27,26,2160,3,0,4,12,5,0
2017/2018,MÖNCHENGLADBACH,"Vestergaard, Jannik",32,32,2880,3,0,7,25,5,0
2017/2018,MÖNCHENGLADBACH,"Elvedi, Nico",33,33,2916,2,2,6,14,6,0
2017/2018,MÖNCHENGLADBACH,"Zakaria, Denis",30,29,2305,2,1,4,21,11,0
2017/2018,MÖNCHENGLADBACH,"Johnson, Fabian",10,5,466,1,0,3,6,0,0
2017/2018,MÖNCHENGLADBACH,"Wendt, Oscar",28,28,2459,1,1,5,17,2,0
2017/2018,MÖNCHENGLADBACH,"Benes, Laszlo",2,0,37,0,0,0,1,0,0
2017/2018,MÖNCHENGLADBACH,"Benger, Marcel",1,0,1,0,0,0,0,0,0
2017/2018,MÖNCHENGLADBACH,"Bobadilla, Raúl",13,5,445,0,0,7,15,2,0
2017/2018,MÖNCHENGLADBACH,"Cuisance, Mickael",24,9,1195,0,1,5,26,2,0
2017/2018,MÖNCHENGLADBACH,"Egbo, Mandela",1,0,10,0,0,0,0,0,0
2017/2018,MÖNCHENGLADBACH,"Grifo, Vincenzo",17,9,781,0,3,7,13,0,0
2017/2018,MÖNCHENGLADBACH,"Herrmann, Patrick",23,12,1125,0,1,7,19,0,0
2017/2018,MÖNCHENGLADBACH,"Hofmann, Jonas",23,12,1030,0,3,5,19,0,0
2017/2018,MÖNCHENGLADBACH,"Jantschke, Tony",13,8,716,0,1,0,1,2,0
2017/2018,MÖNCHENGLADBACH,"Mayer, Florian",1,0,18,0,0,0,0,0,0
2017/2018,MÖNCHENGLADBACH,"Oxford, Reece",7,5,463,0,0,1,3,1,0
2017/2018,MÖNCHENGLADBACH,"Sippel, Tobias",5,4,433,0,0,0,0,0,0
2017/2018,MÖNCHENGLADBACH,"Sommer, Yann",30,30,2627,0,0,0,0,1,0
2017/2018,MÖNCHENGLADBACH,"Strobl, Tobias",4,1,113,0,1,0,0,0,0
2017/2018,MÖNCHENGLADBACH,"Traoré, Ibrahima",7,1,196,0,0,3,8,0,0
2017/2018,MÖNCHENGLADBACH,"Villalba, Julio",1,0,7,0,0,0,0,1,0
2013/2014,HERTHA BERLIN,"Ramos, Adrián",32,30,2663,16,5,44,84,3,0
2013/2014,HERTHA BERLIN,"Allagui, Sami",29,23,1980,9,2,17,42,4,0
2013/2014,HERTHA BERLIN,Ronny,27,10,1168,4,4,24,56,4,0
2013/2014,HERTHA BERLIN,"Ben-Hatira, Anis",21,19,1539,3,2,13,34,2,0
2013/2014,HERTHA BERLIN,"Brooks, John",16,14,1055,2,0,4,8,2,0
2013/2014,HERTHA BERLIN,"Skjelbred, Per",28,27,2116,2,6,13,23,4,0
2013/2014,HERTHA BERLIN,"Wagner, Sandro",25,5,640,2,0,9,20,4,1
2013/2014,HERTHA BERLIN,"Cigerci, Tolga",19,18,1492,1,3,13,28,6,0
2013/2014,HERTHA BERLIN,"Kobiashvili, Levan",15,12,1061,1,0,1,3,2,0
2013/2014,HERTHA BERLIN,"Baumjohann, Alexander",9,5,519,0,2,4,10,1,0
2013/2014,HERTHA BERLIN,"Gersbeck, Marius",1,1,90,0,0,0,0,0,0
2013/2014,HERTHA BERLIN,"Holland, Fabian",3,3,270,0,0,0,0,0,0
2013/2014,HERTHA BERLIN,"Hosogai, Hajime",33,33,2881,0,1,3,9,4,0
2013/2014,HERTHA BERLIN,"Janker, Christoph",5,2,184,0,0,0,0,0,0
2013/2014,HERTHA BERLIN,"Jarstein, Rune Almenning",1,1,90,0,0,0,0,0,0
2013/2014,HERTHA BERLIN,"Kluge, Peer",2,0,10,0,1,0,0,0,0
2013/2014,HERTHA BERLIN,"Kraft, Thomas",32,32,2880,0,0,0,0,0,0
2013/2014,HERTHA BERLIN,"Langkamp, Sebastian",29,29,2508,0,0,1,10,6,0
2013/2014,HERTHA BERLIN,"Lustenberger, Fabian",19,19,1710,0,0,1,5,1,0
2013/2014,HERTHA BERLIN,"Mukhtar, Hany",10,2,319,0,0,0,2,0,0
2013/2014,HERTHA BERLIN,"N'Djeng, Marcel",17,16,1356,0,0,6,18,1,0
2013/2014,HERTHA BERLIN,"Niemeyer, Peter",20,3,710,0,0,3,5,2,0
2013/2014,HERTHA BERLIN,"Pekarik, Peter",31,30,2760,0,2,2,6,4,0
2013/2014,HERTHA BERLIN,"Schulz, Nico",23,15,1431,0,1,4,15,4,0
2013/2014,HERTHA BERLIN,"Van den Bergh, Johannes",26,25,2227,0,1,4,5,2,0
2014/2015,HERTHA BERLIN,"Schieber, Julian",16,15,1280,7,0,12,26,1,0
2014/2015,HERTHA BERLIN,"Kalou, Salomon",27,21,1861,6,0,25,50,2,0
2014/2015,HERTHA BERLIN,"Beerens, Roy",27,24,2077,4,1,10,26,2,0
2014/2015,HERTHA BERLIN,"Ben-Hatira, Anis",15,11,834,4,4,13,25,3,0
2014/2015,HERTHA BERLIN,Ronny,19,9,931,3,2,10,23,4,0
2014/2015,HERTHA BERLIN,"Stocker, Valentin",26,22,1863,3,4,12,32,6,0
2014/2015,HERTHA BERLIN,"Allagui, Sami",20,9,809,2,0,11,25,4,0
2014/2015,HERTHA BERLIN,"Brooks, John",27,24,2186,1,0,3,13,5,0
2014/2015,HERTHA BERLIN,"Haraguchi, Genki",21,14,1383,1,0,6,24,2,0
2014/2015,HERTHA BERLIN,"Hegeler, Jens",24,14,1357,1,1,3,10,4,0
2014/2015,HERTHA BERLIN,"Heitinga, John",13,11,932,1,0,1,2,3,0
2014/2015,HERTHA BERLIN,"Langkamp, Sebastian",16,15,1355,1,0,2,4,3,1
2014/2015,HERTHA BERLIN,"N'Djeng, Marcel",16,11,1107,1,2,3,10,2,0
2014/2015,HERTHA BERLIN,"Niemeyer, Peter",17,9,898,1,0,4,7,6,0
2014/2015,HERTHA BERLIN,"Schulz, Nico",28,24,1986,1,0,3,11,1,2
2014/2015,HERTHA BERLIN,"Burchert, Sascha",2,1,97,0,0,0,0,1,0
2014/2015,HERTHA BERLIN,"Cigerci, Tolga",2,0,77,0,0,0,1,0,0
2014/2015,HERTHA BERLIN,"Hosogai, Hajime",20,16,1432,0,0,0,2,5,0
2014/2015,HERTHA BERLIN,"Jarstein, Rune Almenning",1,1,90,0,0,0,0,0,0
2014/2015,HERTHA BERLIN,"Kraft, Thomas",32,32,2873,0,0,0,0,3,0
2014/2015,HERTHA BERLIN,"Lustenberger, Fabian",27,26,2189,0,0,1,3,3,1
2014/2015,HERTHA BERLIN,"Pekarik, Peter",30,30,2652,0,1,1,5,3,0
